Decision,Date,Rationale,Section,Status,Tags
"Cost model: value-based subscription with included AI action credits, internal model routing, premium workflow multipliers, usage dashboards, and overage/upgrade paths","May 5, 2026",Users buy predictable access to outcomes; Arcwright manages AI cost complexity behind the routing layer. Hybrid model outperforms fixed-per-session (fragile at variable session cost) and raw token-based pricing (poor UX for non-developers). Internal model routing is a margin lever. Heavy usage pays more via overage or tier upgrade.,Section 5: Capital Strategy,Committed,capital
"Nightcap MVP session: 4-10 players, flexible duration, one murder arc, AI-assigned killer, structured reveal sequence","May 5, 2026",Player range of 4-10 accommodates typical party sizes. Flexible duration avoids hard clock constraints requiring additional pacing design. AI-assigned killer makes every session unique without host configuration. Structured reveal sequence ensures the arc ends with narrative coherence regardless of how well players solved the mystery.,Section 3: Three-Horizon Roadmap,Committed,roadmap
"Session interruption handling: partial persistence (character and knowledge state saved, arc restarts from nearest designed beat)","May 5, 2026","On interruption, platform saves character state and knowledge state. On resume, arc restarts from the nearest designed beat. Sessions never restart from the beginning; no state is permanently lost. Full mid-scene resume is deferred as scope debt; beat-level resume covers the most common interruption scenarios and is sufficient for MVP.",Section 2: Strategic Pillars,Committed,pillars
"Artifact numbering conflict flagged: PRD created as 06, but Technical Architecture was originally numbered 06","May 5, 2026",06-PRD-v1 was created in Chat 5.5. The original numbering scheme in 00-Project-Operating-Instructions listed 06 as Technical Architecture. Recommended resolution: renumber Technical Architecture as 07 and shift all subsequent artifacts up by one. Requires founder to update 00-Project-Operating-Instructions and 01-Strategy-Document Section 9 before Chat 6 begins.,Cross-cutting,Tentative,workflow
"Nightcap v1 success criteria: qualitative bar is the gate, quantitative metrics are the instrument","May 5, 2026","Qualitative gate: five or more completed sessions with real groups outside the founder's immediate circle expressing unprompted enthusiasm. Quantitative instruments: session completion rate, arc pacing variance, killer concealment rate, replay intent. Metrics diagnose what to iterate on; they do not define shipped. Aligns with proof signal framework in 01-Strategy-Document.",Section 7: Proof Signals,Committed,roadmap
"Progressive proprietary infrastructure: three-tier build sequence (deterministic now, fine-tuned models at scale, foundation models never)","May 5, 2026","Tier 1 at MVP: deterministic infrastructure with no AI cost (arc engine, session state, knowledge graph, routing, API). Tier 2 at Horizon 2 earliest, triggered by volume and cost data: fine-tuned open source models. Tier 3, never: foundation model development or compute ownership. Games are the data flywheel; session telemetry from day one is the mechanism. Competitors using the same APIs cannot replicate Arcwright-specific session data. Premature Tier 2 investment before data and economics justify it is a distraction from shipping.",Section 3: Three-Horizon Roadmap,Committed,"capital, pillars, roadmap"
Session telemetry is a named MVP done-criterion; must be live from the first production session,"May 5, 2026","Sessions without structured telemetry are compute cost with no data return. The Tier 2 fine-tuning transition is impossible without accumulated labeled session data. Minimum signals from first production session: arc beat engagement duration, pacing intervention triggers and outcomes, knowledge state constraint activations, session completion status, replay intent indicators. Richer schema designed in Chat 6.",Section 2: Strategic Pillars,Committed,"pillars, roadmap"
"Provider-agnostic model routing is a named architectural requirement, not an implication","May 5, 2026","No platform operation may hard-code a dependency on any specific AI provider or model. All model calls route through an internal abstraction layer. Enables cost optimization through provider switching, compliance flexibility for enterprise customers, and Tier 2 migration from managed APIs to fine-tuned open source models without changing arc execution logic.",Section 2: Strategic Pillars,Committed,pillars
Games are deliberate platform stress-tests; each game's design brief must explicitly name which platform capabilities it validates,"May 5, 2026","The platform roadmap is sequenced around validation targets, not just creative preference. Nightcap validates linear arc execution, per-player knowledge state, multi-character ensemble, multi-surface routing, dynamic pacing. Monster RPG validates world state persistence, emergent narrative, procedural generation, player-defined motivation inference. Third game selection evaluated against remaining capability gaps. This discipline distinguishes platform-by-design from platform-by-accident.",Section 3: Three-Horizon Roadmap,Committed,"pillars, roadmap"
Account model: hybrid (mandatory host accounts plus anonymous player join plus optional post-session account creation plus decoupled consent),"May 7, 2026","Players join anonymously via QR code (preserves PRD frictionless onboarding requirement, under 30 seconds to seated). Hosts have mandatory accounts (managing settings, eventual billing). Optional post-session account creation for players who want history saved. Consent decoupled: session-level consent at join (lightweight, ToS plus AI processing notice) for anonymous players, full consent at account creation. Three tables: session_participants, accounts, consent_records. Architecture supports monster RPG persistent player identity without rebuild.",Cross-cutting,Committed,
Service architecture: library plus thin API monolith at MVP,"May 7, 2026","Engine is a standalone Python library. API server is a thin HTTP wrapper. Same single deployed process, but engine has zero dependency on web framework. Enforces platform-clean discipline at type system level rather than relying on developer discipline. Alternatives: pure monolith (HTTP context leaks into engine), microservices (overkill for solo founder MVP).",Cross-cutting,Committed,
Content events: structured semantic schema with presentation hints,"May 7, 2026","Each content event includes: event_type, actor_id, target, payload, presentation_hints (emotion, urgency, voice style, animation hint, lighting hint), target_audience, target_surface. Semantic events not pixel commands. Engine-friendly for downstream SDK consumption: TypeScript web SDK uses subset (text rendering); future Unity SDK uses full schema mapping presentation_hints to Animator parameters, AudioMixer settings, lighting cues. Same payload, different consumers. Engine never knows about display surfaces.",Cross-cutting,Committed,
Knowledge graph data architecture: state tables plus append-only event log plus in-memory cache plus embedding-ready schema,"May 7, 2026","Pure SQL tables for current state. Append-only event log captures all changes (telemetry, replay, audit, recovery for free). In-memory cache during active sessions for sub-millisecond reads. Optional VECTOR(1536) columns on facts and events for future semantic features without migration. pgvector extension installed but not actively used at MVP. Apache AGE rejected at MVP: graph requirements do not justify complexity. Schema designed to add AGE later if monster RPG inference needs it.",Cross-cutting,Committed,
Simulation harness: full harness for MVP,"May 7, 2026","AI-driven synthetic players (Llama 3 on Groq, near-free), seeded deterministic runs, scenario scripting for edge cases, batch run statistics, replay against changed engine versions. 1-2 weeks build. Force multiplier for solo founder iteration: synthetic sessions in minutes vs real playtests in hours. Without it, part-time build pace cannot ship Nightcap. Catches obvious failures but does not predict whether real groups enjoy a session. Real playtests still happen.",Cross-cutting,Committed,
"Compliance posture: GDPR-ready architecture at MVP, formal certifications deferred to enterprise ask","May 7, 2026","GDPR is law in EU regardless of certification: any EU user playing Nightcap triggers compliance. Architecture choices that make GDPR possible are essentially free in chosen stack: encryption at rest (Cloud SQL default), encryption in transit (HTTPS), data minimization (discipline), right to deletion (foreign keys), consent tracking (consent_records table). Formal SOC 2 / ISO 27001 deferred until first enterprise customer specifically asks. HIPAA never (PRD declines clinical healthcare).",Cross-cutting,Committed,
Model routing: LiteLLM SDK in-process at MVP,"May 7, 2026","LiteLLM is the dominant Python provider abstraction (40k stars, 140+ providers, Y Combinator backed, MIT licensed). SDK mode means no separate service to operate. Provider-agnostic routing through abstraction layer means switching Anthropic to Groq to anything else is a routing-table change. Migration to LiteLLM Proxy Server in H2 if external developers join. Custom abstraction rejected: distraction from core platform work.",Cross-cutting,Committed,
Real-time event delivery: SSE plus POST with explicit transport adapter pattern,"May 7, 2026",Engine emits events to internal event bus (asyncio channels). Transport adapters subscribe and push to clients. MVP implements SSE adapter for Nightcap server push and POST endpoint for player input. WebSocket adapter added later when Couch online or Monster online require it. Adapter pattern means engine never changes when transports are added.,Cross-cutting,Committed,
Stack positioning: Arcwright is narrative runtime middleware (Layer 2 in game dev stack),"May 7, 2026","Arcwright sits between game engines (Unity, Unreal, Godot, web) and AI providers (Anthropic, OpenAI, Groq). Engine handles rendering, input, audio. Arcwright handles arc orchestration, characters, knowledge state, content events. AI providers handle generation. Engine-agnostic and provider-agnostic. Closest analogue: http://Charisma.ai (more controllable, character-level vs session-level). Differentiated from: Convai (3D-native lock-in), Inworld (pivoted), Latitude/Voyage (consumer not platform), Ink/Articy (authored not generative).",Cross-cutting,Committed,
"Visual scripting committed for H2/H3, schema designed for visual-builder-readiness now","May 7, 2026","Visual scripting (Blueprints model) is a Tier 1 differentiator for designer/storyteller adoption. Authoring at MVP is YAML/TOML files plus Python extension hooks. Schema must be deterministic and graph-shaped (no imperative steps embedded; imperative logic goes in registered Python extensions with explicit interfaces). Visual builder UI is H2 or H3 priority work, built on top of the same schema. Schema is source of truth, visual editor is one possible UI.",Cross-cutting,Watchpoint,
"Data architecture extends to locations, objects, decisions tables","May 7, 2026","Story is more than dialogue. World state, object interaction, branch points are first-class. Schema additions: locations (id, identity, state, contained_object_ids), objects (id, identity, state, location_id, holder_character_id), decisions (id, context, options_offered, option_chosen, decided_by). Event types extended: object.created, object.moved, object.held, location.changed, environment.changed, decision.offered, decision.made. Nightcap MVP uses subset; monster RPG and couch co-op use all of it. Additive schema, no migration needed when more is used.",Cross-cutting,Committed,
Cloud provider: GCP,"May 7, 2026","Best balance of dev velocity (Cloud Run is simplest serverless container platform), cost profile, and scale headroom for solo founder MVP. Enterprise credibility sufficient for H2 team-building deals. AWS rejected: more friction, GameLift Streams not relevant. Cloudflare Workers rejected: constrains language to TS/JS, time limits problematic for AI calls.",Cross-cutting,Committed,
"Six behavior commitments for AI characters (stochastic generation, initiative, NPC-NPC, goal pursuit, per-character profile, arc-level variability)","May 7, 2026","(1) Behavior is generated not scripted (non-zero temperature, character voice). (2) Initiative scheduler: AI characters act unprompted based on goals and state. (3) NPC-to-NPC interactions are first-class. (4) Goal pursuit drives behavior, not just colors it. (5) Per-character behavior_profile JSONB column captures initiative threshold, goal pursuit weight, interaction style, variability. (6) Arc-level variability through non-deterministic decision points. These prevent over-predictability and support 'you had to be there' north star.",Cross-cutting,Committed,
"Arc execution engine: event-driven coordinator with Python asyncio plus python-statemachine v3, graph traversal","May 7, 2026","Engine is event-driven coordinator: in-process pub/sub via asyncio, components subscribe and emit. python-statemachine v3.0 (Feb 2026) handles beat progression as graph traversal (branching, convergence, multiple endings, loops). Best fit for concurrent concerns (beat, pacing, initiative, character behavior, safety). Lowest engine overhead for player-perceived latency. Temporal rejected: heavyweight workflow engine designed for long-running cross-service durability, overkill for solo founder MVP with hour-long sessions.",Cross-cutting,Committed,
"Languages: Python for engine and API, TypeScript for web SDK and dashboard frontend","May 7, 2026","Python: dominant ecosystem for AI orchestration (LiteLLM, Anthropic SDK, FastAPI, Pydantic). TypeScript: required for browser SDK and dashboard. Future engine-specific SDKs target their engine languages (C# for Unity, C++ for Unreal) in H2.",Cross-cutting,Committed,
Primary database: Cloud SQL PostgreSQL,"May 7, 2026","In-region with Cloud Run (no cross-cloud latency). Real PostgreSQL with full extension support (pgvector, AGE if needed). $300 GCP free credits cover ~20 months of minimum config. Neon initially recommended but rejected: AWS-only as of May 2026, cross-cloud latency penalty 30-40ms per query. Migration to Neon possible if/when GCP support ships.",Cross-cutting,Committed,
"Build sequence philosophy: hybrid (build for Nightcap, design platform-clean from day one)","May 7, 2026","Build only what Nightcap needs at MVP, but design every interface as platform-clean from line one. Avoids over-engineering a full platform pre-proof while preventing the 'extract platform later' anti-pattern. Forces discipline on layer separation. Alternatives considered: platform-first (too speculative for solo founder), Nightcap-only with later extraction (creates technical debt that becomes rewrites).",Cross-cutting,Committed,
Authentication: Firebase Auth (dashboard) plus API keys (developers) plus short-lived JWTs (game clients),"May 7, 2026","Three auth surfaces, three patterns. Firebase Auth handles dashboard human logins (GCP-native, free tier 50K MAU, includes password reset and MFA). API keys for developer backend code calling our API (industry standard). Short-lived JWTs for game clients authenticating to a specific session (issued at session start, scoped, expirable). Saves weeks of building auth flows from scratch.",Cross-cutting,Committed,
"Testing: focused unit tests on knowledge graph, arc engine, safety, model routing","May 7, 2026","Solo founder plus Claude Code primary developer plus MVP scope means full TDD too slow and manual-only too risky. Critical correctness paths get unit tests; everything else manual at MVP. Integration tests added in H2 when external developers join. Specifically: knowledge graph correctness, arc state transitions, safety enforcement, model routing fallback get unit tests.",Cross-cutting,Committed,
"Arc structure: graph with branching, convergence, multiple endings, loops","May 7, 2026","Arcs are not linear sequences. Beats are nodes; transitions are conditional edges. Graph supports: branching (multiple paths from a beat), convergence (multiple paths into a beat), loops (repeating beats like investigation rounds), multiple terminals (different endings), conditional transitions evaluated at runtime. World mutability supported through state JSONB on locations and objects. Arc mutation at runtime architecturally possible (data-driven YAML, not compiled), implementation deferred until use case requires it.",Cross-cutting,Committed,
"Content safety: three-layer at MVP, Layer 4 deferred with watchpoint","May 7, 2026","Layer 1: deterministic hard stops (regex blocklists for absolute prohibited content). Layer 2: GPT-OSS-Safeguard 20B on Groq for pre-generation classification, with arc-defined policy (bring-your-own-policy). Layer 3: main LLM with policy in system prompt. Layer 4 (post-generation safety) deferred with watchpoint to add if real sessions surface output problems. Saves one safety call per turn at MVP. Murder mystery genre adjacent to dark content makes Layer 2 essential. GPT-OSS-Safeguard replaces deprecated Llama Guard 4 (Feb 2026 on Groq).",Cross-cutting,Committed,
generation_logs full content population gated behind CONTENT_LOGGING_ENABLED feature flag (default false); non-PII fields populated at MVP,"May 11, 2026","Player-submitted content (names, character choices, dialogue) may appear in generation prompts. Storing prompt and output text before a GDPR consent architecture is in place creates compliance exposure. The table schema exists from day one with all columns including prompt_text TEXT NULL and output_text TEXT NULL. Non-PII fields (model, latency, tokens, cost, tension score) are populated at MVP. Full content population is deferred until GDPR consent architecture is in place and the flag is explicitly enabled.",Cross-cutting,Committed,roadmap
"Provenance chains adopted as first-class knowledge graph feature: every knowledge state record tracks why a character knows something, not just what they know","May 11, 2026","Provenance chains (ordered list of character IDs from original source to current knower) enable contradiction detection, realistic 'I heard from someone that...' dialogue, deception modeling via confidence scores, and richer telemetry. Characters with short chains speak with certainty; characters at the end of long chains express appropriate uncertainty. Added to knowledge_states schema as provenance_chain JSONB array with confidence float. No schema migration required to use; it is present from day one.",Cross-cutting,Committed,roadmap
"Dramatic tension score adopted as unified first-class session metric driving pacing, misdirection, and model tier selection simultaneously","May 11, 2026","A single composite float (0.0-1.0) computed from time pressure, player action rate, correct suspicion confidence, and clue coverage eliminates three separate threshold systems and creates a cleaner architecture. When tension peaks, the routing layer automatically upgrades character dialogue to premium tier without any explicit call-site code. Weights are arc-configurable in pacing_config, enabling iteration without code changes.",Cross-cutting,Committed,roadmap
python-statemachine v3.0 StateChart confirmed as arc execution library; StateChart base class (not StateMachine) is correct,"May 11, 2026","Verified May 11 2026 that v3.0 supports all required arc graph patterns: parallel regions (State.Parallel), compound states (State.Compound), history states, delayed events, conditional transitions via cond=, and invoked sub-machines. The StateChart base class is the SCXML-compliant class introduced in v3.0; StateMachine is the legacy v2.x-compatible class and must not be used. NightcapArcChart implements investigation beat as State.Parallel so private clue distribution and group interrogation run simultaneously.",Cross-cutting,Committed,roadmap
"Nightcap character mode: generated. Characters are generated per session from typed character slots, not from authored fixed definitions. Character identities, names, and personalities are generated at session start, calibrated to the specific player group.","May 14, 2026","Every session should feel like a genuinely different story (Miracle Workers / Glass Onion model). Fixed authored characters produce a recognizable cast that repeats, reducing replayability. The arc schema supports authored, generated, and hybrid modes at the platform level; Nightcap uses generated.",Cross-cutting,Committed,roadmap
"Nightcap setting constraint: social gathering. The physical construct of every Nightcap session is some kind of social gathering. Time period, tone, and specific setting vary within this constraint.","May 14, 2026",Players should not need heavy imaginative lifting to inhabit the world. Social gathering is something all players have real-world experience with. Time period and accent can vary freely. Exotic settings with no player reference point break immersion rather than building it.,Cross-cutting,Committed,roadmap
"Nightcap aesthetic mode: generative. The visual and tonal aesthetic of each session is generated fresh. The platform supports fixed, palette, and generative aesthetic modes; Nightcap uses generative.","May 14, 2026",Generative aesthetics contribute to session unrepeatability. Future arcs can use any mode.,Cross-cutting,Committed,roadmap
Nightcap play mode at MVP: imposter. One player is assigned the killer role at session start and plays to avoid detection. All other players are investigators. The killer receives a fundamentally different private phone experience from all other players.,"May 14, 2026","Imposter mode creates the strongest social dynamics for a group party game: paranoia, misdirection, alliance-forming, and accusation. The killer's private experience maps directly to the personalization engine's strength. Replay value is high because the killer role is randomly assigned each session. Detective race mode deferred to v1.1.",Cross-cutting,Committed,roadmap
Nightcap arc structure: Dan Harmon Story Circle. Arc structure is a configurable platform-level parameter; Nightcap uses Dan Harmon.,"May 14, 2026","The Story Circle maps cleanly onto a murder mystery: normal world, disruption (murder), investigation, revelation, return transformed. Man in a Hole works for individual player emotional arcs within a session and can coexist at that level.",Cross-cutting,Committed,roadmap
"Nightcap narrator: host persona on shared display. Voiced character on the TV. Aesthetic-linked persona, omniscient, player-addressable. Not a murder suspect. Behavior triggers: beat transitions, clue releases, tension threshold, player inaction. Mostly absent from phones.","May 14, 2026",The narrator is the architect of the evening: the host who built the stage and knows everything. The TV is the social anchor all players share when dispersed on phones. Persona adapts to aesthetic (dry Victorian butler vs theatrical Italian host) contributing to unrepeatability. Not a competing detective but an all-knowing master of ceremonies.,Cross-cutting,Committed,roadmap
