Question,Category,Date Opened,Date Resolved,Priority,Resolution Notes,Status,Where Resolved
Which foundation model produces the best NPC character consistency for Nightcap's use case?,Product,"May 17, 2026",,High,,Open,
Q-109 What are the specific procedural fate event templates?,Content,"May 18, 2026",,Low,Content authoring at full MVP scope. Templates the responsive fate generator selects from and parameterizes.,Open,
Q-102 What is the original-vocabulary term for the 'gym leader' / competitive establishment operator role?,Naming and Brand,"May 18, 2026",,High,The role exists in the game (someone who runs a competitive creature-battling establishment). The term 'gym leader' is on the Chapter 11 prohibited vocabulary list.,Open,
Q-103 What are the original-vocabulary terms for other Pokemon-genre concepts?,Naming and Brand,"May 18, 2026",,Medium,"Specifically: the creature carriage device (replacing pokeball), healing facility, healing items, competitive ranking structures, possibly more. Affected by Chapter 11 prohibited vocabulary.",Open,
Q-110 What is the Monster RPG player character's background or origin?,Content,"May 18, 2026",,Low,Found-family default established (no starting family); specific origin and background is content authoring.,Open,
Q-111 Reassign Tech Architecture §14.3 (couch co-op design) from 'Chat 8' to a future chat.,Roadmap,"May 18, 2026",,Medium,"Previously deferred to Chat 8 (Monster RPG Story Bible). Chat 8 determined couch co-op is a separate game (Hazelight-influenced, candidate third game). §14.3 should be reassigned to the chat that designs the couch co-op game (chat TBD).",Open,
Q-112 What is the visual signature direction for the Monster RPG (art direction)?,Product,"May 18, 2026",,Medium,Affects Chapter 11 trade dress discipline. Must produce a distinctive visual identity not derivative of Pokemon or similar IP.,Open,
Q-104 What specific career paths are authored at MVP?,Content,"May 18, 2026",,Medium,"Chapter 6 lists examples (athlete, scientist, civic leader, healer, ranger, mediator, performer, teacher, artisan, journalist, ethicist, conservationist). MVP needs a defined set of authored paths.",Open,
Q-105 What specific creature species exist in the Monster RPG?,Content,"May 18, 2026",,Medium,"Including their behaviors, habitats, and visual design language. Content authoring and art direction.",Open,
Q-108 What are the specific beat-type weights for the narrative_momentum_score?,Product,"May 18, 2026",,Low,"Tuning parameters, not Bible decisions. Will need playtesting to calibrate.",Open,
Q-106 What is the Monster RPG's specific world setting and geography?,Content,"May 18, 2026",,Medium,"Content authoring outside Bible scope. Bible defines structural rules, not specific setting.",Open,
Q-101 What is the Monster RPG's working name?,Naming and Brand,"May 18, 2026",,High,"Deferred from Chat 4 (Naming and Brand). Blocker for Story Bible finalization and IP filings. Must be original, distinct from Pokemon-genre conventions.",Open,
Q-115 Monster RPG Story Bible v1.0 finalization.,Workflow,"May 18, 2026",,High,"v0.9 DRAFT is in Notion pending platform strategic review. After Q-113 and Q-114 settle, finalize as v1.0 with game-agnostic platform implications language.",Open,
"Q-107 Should the Monster RPG roadmap include multiplayer as a later phase, or should multiplayer validation move entirely to the third (Hazelight-style couch co-op) game?",Roadmap,"May 18, 2026",,Medium,Decision in roadmap planning. Affects PRD §5 validation target #5.,Open,
Q-114 Tech Architecture v1.3 amendments: game-agnostic naming pass and MVP scope discipline.,Product,"May 18, 2026",,High,"Several schema fields specified during Chat 8 (bonded_creatures, home_base_location, career_path, active_party, agency_vs_fate, witnessing_creature_ids, pact_term) are Monster-RPG-specific and need game-agnostic renaming with game-specific overlays via configuration. Also: MVP scope decisions on four 'overthought' items (Witness Bond depth, full procedural fate at MVP, thread genealogy, narrative_momentum_score sophistication). Depends on Q-113.",Open,
Q-113 What is the platform-as-product story for Arcwright?,Product,"May 18, 2026",,Critical,"Customer segments, SDK, developer experience, business model, competitive positioning, enterprise wedge, operational concerns, integration with major game engines. Blocks Monster RPG Story Bible finalization, Tech Architecture v1.3 amendments, and PRD amendments. Next chat is dedicated to this.",Open,
"Q-105 What specific creature species exist? Including their behaviors, habitats, and design language.",Content,"May 18, 2026",,Medium,Content authoring outside Bible scope. Affects art direction.,Open,
Q-110 What is the player character's background or origin?,Content,"May 18, 2026",,Low,Found family default established per D-015; specific origin is content.,Open,
"Q-113 What is the platform-as-product story for Arcwright? Customer segments, SDK, developer experience, business model, competitive positioning, enterprise wedge, operational concerns.",Product,"May 18, 2026",,Critical,"BLOCKER: identified in Chat 8 strategic audit. The Arcwright platform has a technical foundation but is missing the product wrapper that turns it from 'internal engine' to 'infrastructure product.' Affects Tech Architecture naming pass, MVP scope discipline, PRD amendments, and Story Bible finalization. Dedicated chat planned next.",Open,
Q-106 What is the specific world setting and geography of the monster RPG?,Content,"May 18, 2026",,Medium,"Content authoring. Bible defines structural rules, not specific setting.",Open,
"Q-107 Should the monster RPG roadmap include multiplayer as a later phase, or should multiplayer validation move entirely to the third (Hazelight-style) game?",Roadmap,"May 18, 2026",,Medium,Question for roadmap planning. Affects PRD §5 mapping.,Open,
Q-108 What are the specific beat-type weights for the narrative_momentum_score?,Product,"May 18, 2026",,Low,"Tuning parameters, not Bible. Will need playtesting.",Open,
Q-112 What is the visual signature direction for the monster RPG (art direction)?,Product,"May 18, 2026",,Medium,Affects Chapter 11 trade dress discipline. Art direction phase.,Open,
Q-104 What specific career paths are authored at MVP?,Content,"May 18, 2026",,Medium,"Chapter 6 lists examples (athlete, scientist, civic leader, healer, ranger, mediator, performer, teacher, artisan, journalist, ethicist, conservationist). MVP needs a defined set.",Open,
Q-115 What is the final v1.0 of the Monster RPG Story Bible?,Product,"May 18, 2026",,High,Depends on Q-113 and Q-114. v0.9 draft committed to Notion with all 12 chapters and 30 decisions integrated; final v1.0 incorporates platform-as-product naming and any MVP scope changes.,Open,
Q-109 What are the specific procedural fate event templates?,Content,"May 18, 2026",,Low,Content authoring at full MVP scope per D-028.,Open,
Q-111 What is the resolution of Tech Architecture §14.3 (couch co-op)?,Roadmap,"May 18, 2026",,Medium,Should be reassigned from 'Chat 8' to 'the chat that designs the couch co-op game.' Originally deferred to this Bible chat but determined out of scope.,Open,
Q-114 What are the final Tech Architecture v1.3 amendments after the game-agnostic naming pass and MVP scope discipline review?,Product,"May 18, 2026",,High,"Depends on Q-113. Schemas added in Chat 8 (bonded_creatures, home_base_location, agency_vs_fate, witnessing_creature_ids, pact_term, active_party, career_path) need renaming pass for game-agnostic platform. Four 'overthought' items (Witness Bond depth, full procedural fate at MVP, thread genealogy, narrative_momentum_score sophistication) need MVP scope decisions.",Open,
Q-101 What is the monster RPG's working name?,Naming and Brand,"May 18, 2026",,High,Naming work deferred from Chat 4 (Naming and Brand). Need original name distinct from Pokemon-genre conventions.,Open,
"Q-103 What are the original-vocabulary terms for other Pokemon-genre concepts (creature carriage device, healing facility, healing items, competitive ranking structures)?",Naming and Brand,"May 18, 2026",,Medium,All affected by Chapter 11 prohibited vocabulary discipline.,Open,
Q-102 What is the original-vocabulary term for the 'gym leader' / competitive establishment operator role?,Naming and Brand,"May 18, 2026",,High,The role exists in the game; the term is on the prohibited vocabulary list. Required for content authoring.,Open,
Nightcap pricing model and unit economics: what pricing model and unit economics should define the profitability signal for H2 external beta?,Capital Strategy,"May 19, 2026",,High,Required input for D-031 profitability threshold and D-037 numeric tier prices. Target: before Nightcap launch.,Open,
Events vendor white-label receptiveness: are events vendors willing to white-label Arcwright-powered team-building arcs?,Product,"May 19, 2026",,Medium,Primary validation target for D-047 DRAFT. Target: 5 to 10 qualified conversations before committing engineering to white-label features.,Open,
"Specific platform brand name: should the platform brand be Arcwright, Arcwright Engine, or another name?",Naming and Brand,"May 19, 2026",,High,Deferred from D-032 to a dedicated naming chat. Trigger: when external developer communication materials are being designed.,Open,
Unity SDK timing: should Unity SDK move from H2 prep into H1 late based on closed beta participant engine mix?,Roadmap,"May 19, 2026",,Medium,Depends on closed beta participant engine mix. Target: before H2 prep starts.,Open,
Specific profitability threshold for H2 gate: what qualitative or quantitative threshold makes Nightcap profitable enough to open external beta?,Capital Strategy,"May 19, 2026",,High,Needed before D-031 can be evaluated. Target: before Nightcap launch.,Open,
Events vendor revenue range hypothesis: is the one million to ten million USD annual revenue target range the right vendor segment for Arcwright white-label enterprise arcs?,Product,"May 19, 2026",,Low,Needs validation in early events vendor conversations.,Open,
"Corporate buyer continuity preference: do corporate buyers value cross-session continuity, or do they prefer fresh content each engagement?",Product,"May 19, 2026",,Medium,Primary validation target for D-047 DRAFT. Target: through vendor and buyer conversations.,Open,
"Nightcap Continuity v1.1 recap schema: what exact fields belong in the post-session recap artifact?",Product,"June 13, 2026",,High,"Needed before v1.1 planning begins. Must define player-visible recap fields, private/internal fields, safety classification behavior, and whether recap artifacts are shareable outside the session.",Open,"Resolve during Nightcap v1.1 spec planning."
"Nightcap Continuity v1.1 consent and retention: what group memory may be stored, reused, excluded, or deleted?",Product / Privacy,"June 13, 2026",,High,"Needed before v1.1 implementation. Must define host and player consent expectations, deletion behavior, retention duration, redaction rules, and what kinds of personal or group-specific details are never stored.",Open,"Resolve before any v1.1 continuity schema or API work."
"Nightcap v1 group intake inputs: what are the exact three host seed questions and one to two player join prompts, and where do they enter the session creation and join flow?",Product,"June 13, 2026","June 22, 2026",Critical,"D-054 adds personalization intake to Nightcap v1. The resolved prompt set lives in `nightcap-web/src/personalization.ts`: host seed questions are `How familiar is this group with one another?`, `What tone should tonight lean toward?`, and `What group dynamic should we amplify?`; player join prompts are `What kind of role do you usually play in a group?` and optional `What kind of character energy do you want tonight?`. Host intake enters `/host/api/bootstrap/session` and player join intake enters `/join/api`.",Resolved,"`nightcap-web/src/personalization.ts` and AW-228 spec 0058."
"Nightcap narrative quality metrics for simulation harness batches: how will mystery fairness, clue accessibility, NPC consistency, player-choice consequence, and pacing appropriateness be evaluated?",Product,"June 13, 2026",,High,"Product review requires narrative quality metrics before first M3 simulation-harness batch. This should update or close the existing narrative-quality question once the metric rubric is defined.",Open,"Resolve before first M3 simulation-harness batch run."
"Nightcap v1 launch slate: which two or three era/occasion themes from the existing Story Bible list ship at v1?",Content,"June 13, 2026",,High,"D-058 and product review protect the Nightcap critical path by limiting v1 content production to two or three era/occasion themes; the rest remain post-proof content production.",Open,"Resolve before v1 content production planning."
"Documentation hygiene audit: do any planning or architecture docs imply that the platform or engine has a fixed beat count?",Workflow,"June 13, 2026",,Medium,"D-053 states beat count is arc-level. Nightcap is eight Story Circle beats, Monster RPG is emergent with no fixed count, and future arcs choose their own. Audit planning and architecture docs and correct any platform-level fixed-beat-count implication.",Open,"Complete during product-review documentation update cycle."
"Post-generation continuity classifier watchpoint: should the engine add a small-model post-generation check that verifies AI character output respects knowledge-state constraints (knowledge leaks, contradictions)?",Product,"July 11, 2026",,Medium,"ADR-0012 defers this deliberately, mirroring the L4 post-generation safety filter deferral in docs/architecture/10-content-safety.md. Watchpoint trigger: any knowledge leak or character contradiction observed during playtesting, continuity eval runs (ADR-0012 item 3), or the first 90 days of production sessions. If triggered, route as a classification task type through the routing table per cost policy.",Open,"Revisit when the watchpoint trigger fires or at Tier 2 readiness review."
"Host-facing session state rollback: should hosts be able to rewind a live session to a previous beat or snapshot?",Product,"July 11, 2026",,Low,"Surfaced by the ADR-0012 dissertation comparison. Session snapshots already exist for interruption and resume; rollback as a host control is adjacent to parked authoring-tool scope and is not v1 MVP work. Consider alongside Nightcap Continuity v1.1 fast-follow scope or later.",Open,"Revisit during v1.1 fast-follow planning."
"Product name for Nightcap Couch Race (working label only)",Product,"July 15, 2026",,Medium,"Couch Race is a planning label per docs/story-bibles/nightcap-couch-race.md. Candidates surfaced in design session: Last Call, Open & Shut, Cold Open. Decide before public-facing launch materials.",Open,"Before first outside-group rehearsal marketing/invite materials."
"Distribution channel strategy for Couch Race launch",Product,"July 15, 2026",,High,"Web party games live or die on discovery. Death by AI rode Discord virality; Netflix rides its TV app. Options: shareable web link (current runtime), Discord activity, TV app stores later. Channel choice affects onboarding flow and pricing surface.",Open,"After M6 qualifying sessions, before pricing decision."
"Free-text suspect interrogation timing",Product,"July 15, 2026",,Medium,"v1 uses menu-driven question intents (deterministic, cost-bounded). Free-text asking is a classification task in front of the same intents. Gate on intent-menu learnings from rehearsals: do players feel constrained?",Open,"Post-Rehearsal review of interrogation engagement telemetry."
"Victim interrogatability (seance/flashback mechanic) as a future Couch Race twist",Product,"July 15, 2026",,Low,"The victim is a non-interrogatable AI character in v1. A seance or flashback beat where the victim answers a limited question set is a candidate future twist mechanic per docs/story-bibles/nightcap-couch-race.md Section 12.",Open,"Post-proof content roadmap review."
